ID,Codigo,Descripcion,Tipo,FechaExtraccion
191,TM-OFT-HOV,Box TM Oftalmologia HDATL,E,2026-01-31 18:05:40.940000
192,TM-OTORR-HOV,Box TM Otorrinologia HDATL,E,2026-01-31 18:05:40.943000
193,ENF-CAI-HOV,Enfermeria Poli CAI HDATL,E,2026-01-31 18:05:40.943000
194,ENF-CV-HOV,Enfermeria Poli Cardiovascular HDATL,E,2026-01-31 18:05:40.950000
195,ENF-CHAGAS-HOV,Enfermeria Poli Chagas y DM1 HDATL,E,2026-01-31 18:05:40.953000
196,ENF-CUID-HOV,Enfermeria Poli Cuidados Paliativos HDATL,E,2026-01-31 18:05:40.953000
197,ENF-RICARTE-HOV,Enfermeria Poli Ley Ricarte Soto HDATL,E,2026-01-31 18:05:40.957000
198,ENF-NEFRO-HOV,Enfermeria Poli Nefrologia HDATL,E,2026-01-31 18:05:40.960000
199,ENF-NEURO-HOV,Enfermeria Poli Neurofisiologia HDATL,E,2026-01-31 18:05:40.963000
200,ENF-OFT-HOV,Enfermeria Poli Oftalmologia HDATL,E,2026-01-31 18:05:40.963000
201,ENF-ONCO-HOV,Enfermeria Poli Oncologia HDATL,E,2026-01-31 18:05:40.967000
202,ENF-PNI-HOV,Enfermeria Poli PNI y POA HDATL,E,2026-01-31 18:05:40.970000
203,ENF-PREM-HOV,Enfermeria Poli Prematuros y NANEAS HDATL,E,2026-01-31 18:05:40.973000
204,ENF-PROC-HOV,Enfermeria Poli Procedimiento HDATL,E,2026-01-31 18:05:40.973000
205,ENF-PROCET-HOV,Enfermeria Poli PROCET HDATL,E,2026-01-31 18:05:40.977000
206,ENF-FUNC-HOV,Enfermeria Poli Salud Funcionaria HDATL,E,2026-01-31 18:05:40.980000
207,ENF-TACO-HOV,Enfermeria Poli TACO HDATL,E,2026-01-31 18:05:40.983000
208,ENF-PSIQ-AD-HOV,Enfermeria Policlinico Psiquiatria Adulto HDATL,E,2026-01-31 18:05:40.987000
209,ENF-PSIQ-IA-HOV,Enfermeria Policlinico Psiquiatria Infanto Adolescente HDATL,E,2026-01-31 18:05:40.990000
210,ENF-PQ-HOV,Enfermeria Prequirurgica HDATL,E,2026-01-31 18:05:40.990000
211,POLI-TACO-HOV,Poli TACO HDATL,E,2026-01-31 18:05:40.993000
212,PROC-HOV,Box Procedimientos TENS HDATL,E,2026-01-31 18:05:40.997000
213,TMUETR-HOV,Box Toma de Muestra HDATL,E,2026-01-31 18:05:41
214,IMAGEN_HOV,Imagenologia HDATL,E,2026-01-31 18:05:41.003000
224,AJ-HOV,Asesoria Juridica HDATL,E,2026-01-31 18:05:41.007000
225,AUD-HOV,Auditoria HDATL,E,2026-01-31 18:05:41.013000
226,CAL-HOV,Calidad HDATL,E,2026-01-31 18:05:41.017000
227,DIR-HOV,Direccion HDATL,E,2026-01-31 18:05:41.017000
228,EP-HOV,Epidemiologia HDATL,E,2026-01-31 18:05:41.020000
229,EST-HOV,Estadistica HDATL,E,2026-01-31 18:05:41.023000
230,IAAS-HOV,Infecciones Asociadas Atencion de Salud HDATL,E,2026-01-31 18:05:41.027000
231,OIRS-HOV,Oficina de Informacion Reclamo Sugerencia HDATL,E,2026-01-31 18:05:41.030000
232,AS-CESAM-HOV,Box Asistente Social_ CESAM HDATL,E,2026-01-31 18:05:41.033000
233,BTMF-HOV_105102,Cirugia y Traumatologia Buco Maxilofacial HDATL,E,2026-01-31 18:05:41.037000
234,ENDO-HOV_105102,Endodoncia HDATL,E,2026-01-31 18:05:41.040000
235,ODPI-HOV_105102,Odontopediatria HDATL,E,2026-01-31 18:05:41.040000
236,ORTO-HOV_105102,Ortodoncia HDATL,E,2026-01-31 18:05:41.043000
237,PERI-HOV_105102,Periodoncia HDATL,E,2026-01-31 18:05:41.050000
238,HOVUPA,UNIDAD PROCEDIMIENTOS AMBULATORIOS,E,2026-01-31 18:05:41.053000
239,BOX1,BOX1,OR,2026-01-31 18:05:41.057000
241,07-055,Cardiologia Pediatrica,E,2026-01-31 18:05:41.060000
