ID,Codigo,Nombre,NombreProducto,GenericoID,Activo
988,2170067,PILOCARPINA 2% SOLUCION OFTALMICA 10 ML,,576,Y
989,2170089,"TIMOLOL MALEATO 0,5% SOL. OFTALMICA",,691,Y
990,2171223,"TRAVOPROST / TIMOLOL SOLUCION OFTALMICA 0,04 MG/5 MG/ML",,711,Y
991,2172145,"TRAVOPROST SOLUCION OFTALMICA 0,04 MG/ML",,710,Y
992,2140021,ALOPURINOL 300 MG,,37,Y
993,2140018,ALBENDAZOL COMPRIMIDO 200 MG,,32,Y
994,2140279,AMLODIPINO 10 MG,,50,Y
995,2140297,AMLODIPINO 5 MG,,50,Y
996,2140130xxx,BOSENTAN 125 MG COMPRIMIDO,,774,Y
997,2201809,CAPTOPRIL 1 MG/1ML SOLUCION ORAL,,121,Y
998,2140052,CAPTOPRIL 25 MG,,121,Y
999,2149991,"CLONIDINA (CLORHIDRATO) COMPRIMIDO 0,1 MG",,172,Y
1000,2140101,ENALAPRIL  (MALEATO) COMPRIMIDO 10 MG,,251,Y
1001,2140132,HIDRALAZINA COMPRIMIDO 50 MG,,357,Y
1003,2140165,LOSARTAN POTASICO 50 MG,,457,Y
1004,2140178,METILDOPA 250 MG,,480,Y
1005,P900006,"NIFEDIPINO 0,2%",,518,Y
1006,2145582,NIFEDIPINO COMPRIMIDO 10 MG,,518,Y
1007,2145589,NIFEDIPINO COMPRIMIDO LIBERACION RETARDADA 20 MG,,518,Y
1008,2145596,NITRENDIPINO COMPRIMIDO 20 MG,,524,Y
1009,2160400,NITROPRUSIATO DE SODIO 50 MG/2ML,,528,Y
1010,2140222,PROPRANOLOL COMPRIMIDO 40 MG,,614,Y
1011,2160062,PROPRANOLOL SOLUCION INYECTABLE 1 MG/ ML,,614,Y
1012,2160232,URAPIDIL 100 MG AMP,,720,Y
1013,2160231,URAPIDIL 25 MG/5 ML,,720,Y
1014,2160233,URAPIDIL 50 MG/10 ML,,720,Y
1015,2172505,CLORFENAMINA 2.5 MG/ 5ML POR 100 ML JARABE,,180,Y
1016,2140069,CLORFENAMINA MALEATO 4 MG,,180,Y
1017,2170192,CLORFENAMINA 2 MG/5 ML JARABE,,180,Y
1018,NOEXISTE11,CLORFENAMINA ,,180,Y
1019,2140163,LORATADINA 10 MG,,455,Y
1020,2179032,ACIDO TRICLOROACETICO 80%,,776,Y
1021,2179033,ACIDO TRICLOROACETICO 90%,,776,Y
1022,2161374,AZTREONAM 1 G,,76,Y
1023,2139007,"BETAMETASONA + GENTAMICINA SOLUCION OFTALMICA 0,1%+0,3 %",,88,Y
1024,2139009,BETAMETASONA + GENTAMICINA UNGÜENTO OFTÁLMICO,,88,Y
1025,2139030,"POLIMIXINA B / NEOMICINA / BETAMETASONA / LIDOCAÍNA SOLUCIÓN TÓPICA 1.000.000 UI / 0,35 G / 0,1 G / 2 G",,590,Y
1026,2171255,TOBRAMICINA + DEXAMETASONA SOLUCION OFTALMICA 3 MG/1 MG/ML,,699,Y
1027,2130027xxx,TOBRAMICINA 300MG/5ML SLN. NEB AMP,,698,Y
1028,2160040,KETOPROFENO SOLUCION INYECTABLE 100 MG/2ML,,413,Y
1029,2141245,MESALAZINA COMPRIMIDO O COMPRIMIDO RECUBIERTO 500 MG,,473,Y
1030,2172361,MESALAZINA SUPOSITORIO 500 MG,,473,Y
1031,2172150,PREDNISOLONA 1% COLIRIO,,603,Y
1032,2140239,SULFASALAZINA 500 MG,,660,Y
1033,NOEXISTE30,"CLOBETASOL 0,05%",,167,Y
1034,2179022,"CLOBETASOL CREMA TOPICA 0,05%",,167,Y
1035,2174151,"LIDOCAINA GEL 4,00%",,444,Y
1036,2176012,CLOTRIMAZOL OVULO 500 MG,,187,Y
1037,2130240,TERBINAFINA COMPRIMIDO 250 MG,,680,Y
1038,2140352,AMANTADINA CLORHIDRATO 100 MG,,835,Y
1039,2149014,LEVODOPA + BENSERAZIDA COMPRIMIDO 200 MG/50 MG,,436,Y
1040,2145556,LEVODOPA + CARBIDOPA COMPRIMIDO 250 MG/25 MG,,437,Y
1041,NOEXISTE4,"PRAMIPEXOL COMPRIMIDO 0,25 MG",,601,Y
1042,2140219,PRAMIPEXOL 1 MG,,601,Y
1043,2140261,TRIHEXIFENIDILO COMPRIMIDO 2 MG,,715,Y
1044,2130018,BENZNIDAZOL 100 MG COMP. PM,,85,Y
1045,2149008,CLOROQUINA COMPRIMIDO 250 MG,,183,Y
1046,2140229,ACITRETINA  25 MG COMPRIMIDO,,840,Y
1047,2140136,HIDROXICLOROQUINA 200 MG,,361,Y
1048,2132600,ESTREPTOMICINA (SULFATO) POLVO LIOFILIZADO PARA SOLUCION INYECTABLE 1 GR,,272,Y
1049,2130137,ISONIAZIDA COMPRIMIDO 100 MG,,402,Y
1050,2136750,PIRAZINAMIDA COMPRIMIDO 500 MG,,579,Y
1051,2130031,RIFAMPICINA 150 MG ISONIAZIDA 150 MG CM / CP PM,,624,Y
1053,2137305,RIFAMPICINA CAPSULA 150 MG,,624,Y
1054,2130032,RIFAMPICINA SUSPENSION ORAL 100 MG/5 ML PM,,624,Y
1055,2170011,BROMHEXINA CLORHIDRATO JBE. 4 MG/5 ML FCO. 100ML,,103,Y
1056,2200003,"CODEINA SOLUCION ORAL 2,00%",,190,Y
1057,2120003,CODEINA 6% SOLUCION 60 ML,,190,Y
1058,2137771,PM ABACAVIR / LAMIVUDINA / DOLUTEGRAVIR 600/ 300/ 50 MG,,1,Y
1059,2130013,ABACAVIR 300 MG CMR PM,,2,Y
1060,2130006,ACICLOVIR 400 MG,,9,Y
1061,2130106,"ACICLOVIR CREMA TOPICA 5,00%",,9,Y
1062,2130005,ACICLOVIR 250 MG/10 ML,,9,Y
1063,2136565,ATAZANAVIR / COBICISTAT 300/ 150 MG,,65,Y
1064,2130033,PM ATAZANAVIR 300 MG CM,,65,Y
1065,2130019,BICTEGRAVIR/EMTRICI/TENOF 50/200/25MG   COMP. PM,,92,Y
1066,2130020,DARUNAVIR 800 MG./COBICISTAT 150 MG. CMR..-PM,,210,Y
1067,2130263,DARUNAVIR COMPRIMIDO 400 MG,,209,Y
1068,2130264,DARUNAVIR 600 MG PM,,209,Y
1069,2130265,DOLUTEGRAVIR 50 MG PM,,235,Y
1070,2130101,EFAVIRENZ COMPRIMIDO 600 MG,,247,Y
1071,2143903,ELVITEGRAVIR COBICISTAT EMTRICITABINA TENOFOVIR 150/150/200/300 MG,,250,Y
